"All Employer-Insured Plans, Drug Claims Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance Prescriptions,Unclassified,Avg. Unclassified Prescriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$4,900","2,360 ",$913.76,"$4,850.64",$180.93,5.24,$254.08,1.64,$161.93,0.74,$27.31,0.04,$369.85,4.924,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,000","2,290 ",$920.03,"$4,949.98",$182.35,5.27,$257.27,1.65,$164.10,0.74,$28.33,0.04,$374.42,4.954,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,100","2,174 ",$926.14,"$5,049.47",$183.69,5.29,$260.35,1.66,$166.20,0.75,$29.27,0.04,$378.76,4.981,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,200","2,133 ",$932.07,"$5,149.36",$185.10,5.31,$263.36,1.68,$168.41,0.76,$30.17,0.05,$383.06,5.009,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,300","2,013 ",$937.85,"$5,250.35",$186.30,5.34,$266.19,1.69,$170.38,0.76,$31.14,0.05,$387.26,5.036,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,400","2,004 ",$943.48,"$5,349.61",$187.65,5.36,$269.11,1.70,$172.59,0.77,$32.13,0.05,$391.24,5.061,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,500","1,872 ",$948.96,"$5,449.59",$188.84,5.38,$271.89,1.71,$174.58,0.78,$33.15,0.05,$395.16,5.085,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,600","1,841 ",$954.29,"$5,550.65",$190.11,5.40,$274.74,1.72,$176.64,0.78,$34.13,0.05,$399.05,5.109,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,700","1,735 ",$959.48,"$5,649.07",$191.24,5.42,$277.42,1.74,$178.41,0.79,$35.04,0.05,$402.95,5.133,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$5,800","1,648 ",$964.55,"$5,750.14",$192.30,5.44,$280.14,1.75,$180.19,0.80,$35.95,0.05,$406.70,5.156,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
